task_id,project_id,pi_id,start_col,end_col,row_index
PLAYERW-10368,PLAYERW,pi1,0,2,0
PLAYERW-9524,PLAYERW,pi1,5,6,0
PLAYERW-8746,PLAYERW,pi1,5,6,1
PLAYERW-10082,PLAYERW,pi1,5,6,2
PLAYERW-10138,PLAYERW,pi1,5,6,3
PLAYERW-10900,PLAYERW,pi1,0,2,3
TVSFR-429,ROADMAP_SFR,pi1,5,6,0
TVSFR-532,ROADMAP_SFR,pi1,4,6,0
TVAPI-3553,ROADMAP_SFR,pi1,2,4,0
TVSFR-533,ROADMAP_SFR,pi1,2,4,0
TVSFR-515,ROADMAP_SFR,pi1,5,6,0
TVSFR-438,ROADMAP_SFR,pi1,1,2,0
TVSFR-519,ROADMAP_SFR,pi1,3,5,0
TVAPPS-20339,ROADMAP_SFR,pi1,0,2,0
TVSFR-534,ROADMAP_SFR,pi1,4,6,0
PLAYERW-9524,ROADMAP_SFR,pi1,5,6,0
TVSFR-536,ROADMAP_SFR,pi1,4,6,0
PLAYERW-10368,ROADMAP_SFR,pi1,0,2,0
TVSFR-400,ROADMAP_SFR,pi1,4,6,1
TVSFR-373,ROADMAP_SFR,pi1,0,1,1
PLAYERW-8746,ROADMAP_SFR,pi1,5,6,1
TVSFR-517,ROADMAP_SFR,pi1,2,3,2
TVSFR-518,ROADMAP_SFR,pi1,4,5,2
TVSFR-436,ROADMAP_SFR,pi1,0,1,2
PLAYERW-10082,ROADMAP_SFR,pi1,5,6,2
PLAYERW-10900,ROADMAP_SFR,pi1,0,2,3
PLAYERW-10138,ROADMAP_SFR,pi1,5,6,3
TVSFR-536,ROADMAP_SFR,pi2,4,6,0
TVSFR-517,ROADMAP_SFR,pi2,2,4,0
TVSFR-519,ROADMAP_SFR,pi2,0,2,0
TVSFR-429,ROADMAP_SFR,pi2,2,4,0
TVSFR-534,ROADMAP_SFR,pi2,5,6,1
TVSFR-533,ROADMAP_SFR,pi2,2,4,1
TVSFR-532,ROADMAP_SFR,pi2,5,6,2
TVAPI-3553,TVAPI,pi1,2,4,0
TVAPPS-20339,TVAPPS,pi1,0,2,0
TVFIRE-1226,TVFIRE,pi1,5,6,0
TVFIRE-1174,TVFIRE,pi1,4,6,0
TVFIRE-1173,TVFIRE,pi1,2,5,0
TVFIRE-1030,TVFIRE,pi1,0,2,0
TVFIRE-926,TVFIRE,pi1,0,1,0
TVFIRE-1118,TVFIRE,pi1,0,1,0
TVFIRE-1171,TVFIRE,pi1,4,6,0
TVFIRE-839,TVFIRE,pi1,2,4,0
TVFIRE-928,TVFIRE,pi1,4,6,0
TVFIRE-1130,TVFIRE,pi1,0,1,0
TVFIRE-1064,TVFIRE,pi1,0,1,0
TVFIRE-920,TVFIRE,pi1,1,2,0
TVFIRE-1172,TVFIRE,pi1,4,6,1
TVFIRE-1131,TVFIRE,pi1,0,1,1
TVFIRE-1257,TVFIRE,pi1,2,4,1
TVFIRE-915,TVFIRE,pi1,1,2,1
TVFIRE-1112,TVFIRE,pi1,0,2,2
TVFIRE-694,TVFIRE,pi1,0,2,2
TVFIRE-1052,TVFIRE,pi1,1,2,2
TVFIRE-981,TVFIRE,pi1,5,6,2
TVFIRE-1087,TVFIRE,pi1,2,3,2
TVFIRE-1175,TVFIRE,pi1,5,6,3
TVFIRE-1114,TVFIRE,pi1,0,2,3
TVFIRE-1169,TVFIRE,pi1,0,1,3
TVFIRE-1086,TVFIRE,pi2,0,2,0
TVFIRE-1263,TVFIRE,pi2,3,4,0
TVFIRE-1278,TVFIRE,pi2,4,5,0
TVFIRE-1174,TVFIRE,pi2,5,6,0
TVFIRE-1173,TVFIRE,pi2,2,3,0
TVFIRE-981,TVFIRE,pi2,2,3,0
TVFIRE-1252,TVFIRE,pi2,5,6,1
TVFIRE-1175,TVFIRE,pi2,3,4,1
TVFIRE-1172,TVFIRE,pi2,0,2,1
TVFIRE-1279,TVFIRE,pi2,4,5,1
TVFIRE-1226,TVFIRE,pi2,2,3,1
TVFIRE-1262,TVFIRE,pi2,2,3,2
TVFIRE-1052,TVFIRE,pi2,4,5,2
TVFIRE-1281,TVFIRE,pi2,5,6,2
TVFIRE-1218,TVFIRE,pi2,3,4,2
TVFIRE-1257,TVFIRE,pi2,1,2,2
TVFIRE-1087,TVFIRE,pi2,5,6,3
TVFIRE-928,TVFIRE,pi2,2,4,3
TVFIRE-1274,TVFIRE,pi2,4,5,3
TVFIRE-694,TVFIRE,pi2,5,6,4
TVFIRE-1280,TVFIRE,pi2,4,5,4
TVFIRE-1221,TVFIRE,pi2,3,4,4
TVFIRE-1112,TVFIRE,pi2,0,2,5
TVFIRE-1272,TVFIRE,pi2,5,6,5
TVFIRE-1284,TVFIRE,pi2,4,6,6
TVFIRE-1113,TVFIRE,pi2,5,6,8
TVFIRE-1114,TVFIRE,pi2,0,2,9
TVFREE-1740,TVFREE,pi1,4,6,0
TVFREE-1969,TVFREE,pi1,0,1,0
TVFREE-1897,TVFREE,pi1,1,2,0
TVFREE-1933,TVFREE,pi1,0,1,0
TVFREE-1968,TVFREE,pi1,0,1,0
TVFREE-2008,TVFREE,pi1,5,6,0
TVFREE-1977,TVFREE,pi1,2,5,0
TVFREE-1967,TVFREE,pi1,4,6,1
TVFREE-1543,TVFREE,pi1,1,2,1
TVFREE-1974,TVFREE,pi1,2,3,1
TVFREE-1970,TVFREE,pi1,4,5,2
TVFREE-1763,TVFREE,pi1,2,4,2
TVFREE-1903,TVFREE,pi1,0,1,3
TVFREE-2013,TVFREE,pi2,2,3,0
TVFREE-2053,TVFREE,pi2,4,6,0
TVFREE-2008,TVFREE,pi2,0,1,0
TVFREE-2012,TVFREE,pi2,0,2,0
TVFREE-1977,TVFREE,pi2,0,1,0
TVFREE-1740,TVFREE,pi2,3,4,0
TVFREE-2014,TVFREE,pi2,0,1,1
TVFREE-2011,TVFREE,pi2,5,6,1
TVFREE-2039,TVFREE,pi2,2,3,1
TVFREE-1967,TVFREE,pi2,3,4,1
TVFREE-2010,TVFREE,pi2,1,2,1
TVFREE-1543,TVFREE,pi2,0,1,1
TVFREE-2035,TVFREE,pi2,2,3,2
TVFREE-2038,TVFREE,pi2,3,4,2
TVFREE-1897,TVFREE,pi2,0,1,3
TVFREE-2015,TVFREE,pi2,2,4,3
TVFREE-1974,TVFREE,pi2,0,1,4
TVFREE-2050,TVFREE,pi2,2,4,4
TVORA-632,TVORA,pi1,0,1,0
