id,document_id,name,position,created_at,updated_at
2ec30327-08ac-4d2a-8082-fc1a7bd6b5fd,copil-amazon,Vega,0,2026-03-31 13:02:02.739202+00,2026-03-31 13:02:02.739202+00
133f534f-3564-4c9c-9702-3e23134ebd57,copil-amazon,Android TV,1,2026-03-31 13:02:11.184818+00,2026-03-31 13:02:23.731591+00
bb52153d-1db0-42b8-9dd5-8e2a98f5af8e,copil-orange-x-ftv,Contratctualisation,0,2026-03-24 08:58:03.552475+00,2026-03-25 09:20:16.686584+00
aa1e5f3a-8404-4796-b943-96cee03429d1,copil-orange-x-ftv,Application,1,2026-03-24 08:58:17.697933+00,2026-03-25 09:20:41.7574+00
a2f833fe-91df-4673-b2c6-e63d2a43d959,copil-orange-x-ftv,Player,2,2026-03-24 08:58:20.908842+00,2026-03-24 08:58:20.908842+00
80754d52-1172-44df-9fb6-c056699ab09d,copil-orange-x-ftv,VF,3,2026-03-24 08:58:28.539245+00,2026-03-25 09:24:36.290441+00
971337b2-1b16-4f24-b18c-916248abc991,copil-orange-x-ftv,Exploitation,4,2026-03-24 13:14:55.729688+00,2026-03-25 09:24:57.433154+00
facf5098-9c3a-41e4-a20f-10f5d2748e51,copil-sfr-ftv-3,Contractualisation,0,2026-03-23 20:34:02.549536+00,2026-03-23 20:34:02.549536+00
6d7540f9-3ead-4048-a739-7b3511d669be,copil-sfr-ftv-3,Deeplink,1,2026-03-23 20:34:02.552352+00,2026-03-23 20:34:02.552352+00
cbb25a69-f24a-4ad2-b216-036cb669be54,copil-sfr-ftv-3,Version STB,2,2026-03-23 20:34:02.553605+00,2026-03-23 20:34:02.553605+00
7fbc1a12-3616-474b-8f84-657ffd8ece69,copil-sfr-ftv-3,Android,3,2026-03-24 08:30:12.407769+00,2026-03-24 08:30:12.407769+00
66b5359a-8b08-4d17-ac9d-8c2abe10f3da,copil-sfr-ftv-3,Video Factory,4,2026-03-30 15:01:40.592488+00,2026-03-30 15:01:40.592488+00
7d230ea2-2d76-4156-b1db-3bf37cfe611d,hebdo-tv,Product Design,0,2026-03-23 20:34:02.520947+00,2026-03-23 20:34:02.520947+00
bc802fae-9884-40d0-a28d-8dc30e44c0ca,hebdo-tv,Player,1,2026-03-23 20:34:02.53964+00,2026-03-23 20:34:02.53964+00
545c9d92-1146-465f-a04e-871738954a3a,hebdo-tv,API,2,2026-03-23 20:34:02.545771+00,2026-03-26 14:13:42.730846+00
a7d84a22-640d-4243-9229-e966b7a626a1,hebdo-tv,Mics FAI,3,2026-03-23 20:34:02.547265+00,2026-03-26 14:13:42.730846+00
1cfd80eb-f93f-403f-b94a-8485d06295b7,suivi-partenariat,Général,0,2026-03-23 20:34:02.555914+00,2026-03-23 20:34:02.555914+00
688cbe56-ae7e-40bf-8d80-8a7247164f1b,suivi-partenariat,SMART TV,1,2026-03-23 20:34:02.562645+00,2026-03-23 20:34:02.562645+00
e31b7da8-822d-4989-83c0-3e2a04f4cfe9,suivi-partenariat,Orange (toutes les boxs),2,2026-03-23 20:34:02.566997+00,2026-03-23 20:34:02.566997+00
106ad841-6297-46f9-a645-6a2132928745,suivi-partenariat,"SFR ( STB7,8)",3,2026-03-23 20:34:02.569095+00,2026-03-23 20:34:02.569095+00
564fccae-6bd4-4aeb-8f7e-724622beb27a,suivi-partenariat,"Free ( Delta, révolution, mini4K)",4,2026-03-23 20:34:02.570239+00,2026-03-23 20:34:02.570239+00
5bda469c-f771-4374-8b0a-1cbb7db13c74,suivi-partenariat,Videofutur (Netgem),5,2026-03-23 20:34:02.570871+00,2026-03-23 20:34:02.570871+00
